run	id	category	question	answer_regex	model	answer	prompt_tokens	completion_tokens	correct
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q1	math	12と18の最大公約数は？数値のみで答えてください。	^6$	gpt-4o-mini	6	41	1	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q17	devops	Gitで最新コミットの短縮ハッシュを表示するコマンドは？コマンドのみ。	^git\s+rev-parse\s+--short\s+HEAD$	gpt-4o-mini	``` git rev-parse --short HEAD ```	46	11	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q19	lang	英語で「ありがとう」を答えてください（短く）。	^(thank\s*you|thanks)$	gpt-4o-mini	Thank you.	36	3	0
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q7	knowledge	2024年はうるう年ですか？はい/いいえのみ。	^(はい|yes)$	gpt-4o-mini	はい。	40	2	0
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q5	coding	BashでUNIX時刻（秒）を出すコマンドは？コマンドのみ。	^date\s+\+%s$	gpt-4o-mini	date +%s	46	4	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q13	knowledge	フランスの首都は？都市名のみ。	^(パリ|Paris)$	gpt-4o-mini	パリ	35	2	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q20	coding	Bashで現在ディレクトリ直下の項目数を数えるワンライナーは？コマンドのみ。	(ls\s+-1\s*\|\s*wc\s+-l|find\s+\.\s+-maxdepth\s+1(\s+[^|]+)?\|\s*wc\s+-l)	gpt-4o-mini	`ls -1 | wc -l`	51	9	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q18	devops	Dockerで実行中コンテナ一覧コマンドは？コマンドのみ。	^docker\s+ps$	gpt-4o-mini	`docker ps`	42	4	0
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q3	knowledge	「銀河鉄道の夜」の作者は？最終答のみ。	宮沢賢治|Kenji\s*Miyazawa	gpt-4o-mini	宮沢賢治。	39	6	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q6	math	2+2 は？数値のみ。	^4$	gpt-4o-mini	4	32	1	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q15	coding	JSONを整形出力するjqの最小コマンドは？コマンドのみ。	^\s*jq\s+\.\s*$	gpt-4o-mini	jq .	44	2	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q2	math	29の次の素数は？数値のみで答えてください。	^31$	gpt-4o-mini	31	39	1	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q16	math	円周率を小数点以下2桁まで（四捨五入）：数値のみ。	^3\.14$	gpt-4o-mini	3.14	46	3	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q8	knowledge	水の化学式は？最終答のみ。	^((H\s*2\s*O)|H₂O)$	gpt-4o-mini	H₂O	35	3	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q10	knowledge	日本の通貨単位は？最終答のみ。	(円|JPY)	gpt-4o-mini	円。	36	2	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q14	math	7の階乗は？数値のみ。	^5040$	gpt-4o-mini	5040	33	2	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q9	math	81の平方根は？数値のみ。	^9$	gpt-4o-mini	9	33	1	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q12	coding	HTTP 404 の意味を2語の英語で。	^Not\s*Found$	gpt-4o-mini	Not Found	36	2	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q4	knowledge	カナダの首都は？都市名のみ。	オタワ|Ottawa	gpt-4o-mini	オタワ	35	3	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_112434	q11	logic	57は奇数ですか？はい/いいえのみ。	^(はい|yes)$	gpt-4o-mini	はい。	36	2	0
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_113425	q2	math	29の次の素数は？数値のみで答えてください。	^31$	gpt-4o-mini	31	39	1	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_113425	q18	devops	Dockerで実行中コンテナ一覧コマンドは？コマンドのみ。	^docker\s+ps$	gpt-4o-mini	`docker ps`	42	4	0
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_113425	q10	knowledge	日本の通貨単位は？最終答のみ。	(円|JPY)	gpt-4o-mini	円。	36	2	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_113425	q13	knowledge	フランスの首都は？都市名のみ。	^(パリ|Paris)$	gpt-4o-mini	パリ	35	2	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_113425	q9	math	81の平方根は？数値のみ。	^9$	gpt-4o-mini	9	33	1	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_113425	q20	coding	Bashで現在ディレクトリ直下の項目数を数えるワンライナーは？コマンドのみ。	(ls\s+-1\s*\|\s*wc\s+-l|find\s+\.\s+-maxdepth\s+1(\s+[^|]+)?\|\s*wc\s+-l)	gpt-4o-mini	`ls -1 | wc -l`	51	9	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_113425	q11	logic	57は奇数ですか？はい/いいえのみ。	^(はい|yes)$	gpt-4o-mini	はい。	36	2	0
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_113425	q6	math	2+2 は？数値のみ。	^4$	gpt-4o-mini	4	32	1	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_113425	q4	knowledge	カナダの首都は？都市名のみ。	オタワ|Ottawa	gpt-4o-mini	オタワ	35	3	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_113425	q14	math	7の階乗は？数値のみ。	^5040$	gpt-4o-mini	5040	33	2	1
/home/iwatsuka/dev/logicbench_env/logicbench-eval/runs/20251014_113425	q16	math	円周率を小数点以下2桁まで（四捨五入）：数値のみ。	^3\.14$	gpt-4o-mini	3.14	46	3	1
